,crime
759,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal."
760,An ex-convict working undercover intentionally gets himself incarcerated again in order to infiltrate the mob at a maximum security prison.
761,"When a mysterious corpse is found in a river, a distressed police officer delves into a string of grisly murders as danger quickly approaches."
762,"Molly, former prostitute, has managed to leave her street life with help from Lt. Andrews. She studies law and leads a normal life. When Andrews is killed by a brutal gang, she returns to the streets as Angel to find his killers."
763,Three band members hoping for a big break head to a radio station to play their demo tape and wind up holding everyone hostage with plastic guns when the head D.J. refuses to play them.
764,A five-part mini-series that revolves around the disappearance of a young mother in a quiet British suburb and the circumstances that leave her children abandoned far from home.
765,A newly released prisoner is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.
766,"A frustrated office worker discovers that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities."
767,"The origin of the sleuth and member of the Mystery Inc. gang, Velma."
768,"A con man on the run from a vicious gangster takes cover by assuming the identity of his prison cellmate Pete, and reuniting with Pete's estranged family, which threatens to drag him into a world just as dangerous as the one he's escaping."
769,An FBI undercover agent infiltrates the mob and finds himself identifying more with the Mafia life--at the expense of his regular one.
770,"By day, the Duncans are an upstanding family who run a thriving exotic car dealership in New York. By night, they live a dangerous secret life. When they come under siege the Duncans will have to stick together or die separately."
771,"A young man who was sentenced to seven years in prison for robbing a post office ends up spending three decades in solitary confinement. During this time, his own personality is supplanted by his alter-ego, Charles Bronson."
772,The lives and work of the staff of an inner city police precinct.
773,"Now a detective-for-hire, Enola Holmes takes on her first official case to find a missing girl as the sparks of a dangerous conspiracy ignite a mystery that requires the help of friends - and Sherlock himself - to unravel."
774,A bouncer with a slightly murderous anger-management problem that she controls with the help of an electrode-lined vest she uses to shock herself back to normalcy whenever she gets homicidal.
775,The story about a woman who joins an organized crime ring and infiltrates the police as an undercover agent in order to find out the truth about her father's death.
776,A young woman is found brutally murdered in a playground and one of her hands is missing. Above her hangs a small man made of chestnuts.
777,"U.S. Marshal Samuel Gerard and his team of Marshals are assigned to track down Sheridan, who has been accused of a double-murder."
778,"Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil."
779,"In 1890s Wyoming, Butch Cassidy and The Sundance Kid lead a band of outlaws. When a train robbery goes wrong, they find themselves on the run with a posse hard on their heels. After considering their options, they escape to South America."
780,"The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States."
781,"In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions."
782,"In 1947, Mildred Ratched begins working as a nurse at a leading psychiatric hospital. But beneath her stylish exterior lurks a growing darkness."
783,Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.
784,"Set during a vicious storm, two criminal brothers on the run seek refuge in a desolate farmhouse. Taking the resident family captive, they find the house holds dark secrets of its own."
785,"Drama following Brighton-based Detective Superintendent Roy Grace, a hard-working police officer who has given his life to the job."
786,"A college freshman returns to L.A. for the holidays at his ex-girlfriend's request, but discovers that his former best friend has an out-of-control drug habit."
787,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins."
788,"When a Russian mobster orchestrates a crooked land deal, millions of dollars are up for grabs, drawing in the entire London underworld into a feeding frenzy at a time when the old criminal regime is losing turf to a wealthy foreign mob."
789,An American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.
790,"Three murders - unsolved but never forgotten. Thirty years on, can DCI Bethall find the serial killer who terrorised 1970s Port Talbot?"
791,Bishop's most formidable foe kidnaps the love of his life in order to make him complete three impossible assassinations and make them look like accidents.
792,"The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press."
793,"Four armed men hijack a New York City subway car and demand a ransom for the passengers. The city's police are faced with a conundrum: Even if it's paid, how could they get away?"
794,"The story of the organized crime scene of Dublin is revealed, centered on Darren, who wants to stay out of trouble but ends up returning to his old habits and his old gang."
795,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.
796,"Malcolm Bright, one of the best criminal psychologists around, uses his twisted genius to help the NYPD solve crimes."
797,A dark comedy that focuses on a female con artist who marries people and then disappears with their money.
798,"It's 1949 Los Angeles, the city is run by gangsters and a malicious mobster, Mickey Cohen. Determined to end the corruption, John O'Mara assembles a team of cops, ready to take down the ruthless leader and restore peace to the city."
799,"Aile is a story of Aslan who is the son of a large family, runs a nightclub. An extremely shrewd man. He is a dark and mysterious character. Psychologist Devin will enter the life of this difficult man and it becomes intense."
800,A group of police officers with particular methods who track down a dangerous criminal in order to prevent Marseille from plunging into a bloodbath.
801,"When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate Hawk to take down criminals."
802,"In New York City's Little Italy, a devoutly Catholic mobster must reconcile his desire for power, his feelings for his epileptic lover, and his devotion to his troublesome friend."
803,Lindsay arrives in Mumbai after escaping from an Australian prison. He meets Prabhakar who takes him to his native village where he relaunches his criminal career as Shantaram in the city's notorious underworld.
804,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties."
805,Drama series following a team of detectives who investigate unsolved murders using modern technology.
806,"A mysterious blonde woman kills one of a psychiatrist's patients, and then goes after the high-class call girl who witnessed the murder."
807,A new assignment forces a top spy to team up with his football hooligan brother.
808,U.S. Marshal Carrie Stetko tracks a killer in Antarctica as the sun is about to set for six months.
809,"Danny Ocean rounds up the boys for a third heist after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff."
810,"During a visit to his motherland, a Korean-Italian Mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice."
811,"Tenacious and stubborn DCI Alan Banks unravels disturbing murder mysteries aided by his young assistants, DS Annie Cabbot and DI Helen Morton."
812,"In late 1930s Bay City, a brooding, down on his luck detective is hired to find the ex-lover of a glamorous heiress."
813,"Secret Service agent Frank Horrigan couldn't save Kennedy, but he's determined not to let a clever assassin take out this president."
814,"A private detective's protected female witness is murdered, prompting him and the victim's boyfriend to investigate the crime that leads to a corrupt politician and a crooked football team owner."
815,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
816,"With the help of DS John Bacchus, Inspector George Gently spends his days bringing to justice members of the criminal underworld who are unfortunate enough to have the intrepid investigator assigned to their cases."
817,Anthology series in which each season is based on a true crime story featuring an epic tale of love gone wrong.
818,A freelancing former U.S. Intelligence Agent tries to track down a mysterious package that is wanted by the Irish and the Russians.
819,Police drama series following officers and detectives from Sun Hill Police Station in East London.
820,"Two violent young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement."
821,A crime boss teams up with a cop to track down a serial killer.
822,A young actor's obsession with spying on a beautiful woman who lives nearby leads to a baffling series of events with drastic consequences.
823,"A young man stands accused of murder. The evidence is overwhelming. But at his trial, this man tells an extraordinary story."
824,An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.
825,A shy and enigmatic Detective Sergeant is partnered with a wildly ambitious Detective Chief Inspector to solve crimes in the historic city of Bath.
826,A passionate yet unsuccessful comedian stalks and kidnaps his idol to take the spotlight for himself.
827,"A physically perfect but innocent man goes in search of his long-lost twin brother, who is short, a womanizer, and small-time crook."
828,A former D.E.A. agent forced into early retirement runs a gift shop in the Philippines.
829,"When Rodney Baze mysteriously disappears and law enforcement doesn't follow through fast enough, his older brother Russell takes matters into his own hands to find justice."
830,A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.
831,A successful businesswoman gets caught up in a game of cat and mouse as she tracks down the unknown man who raped her.
832,"A veteran high school teacher befriends a younger art teacher, who is having an affair with one of her fifteen-year-old students. However, her intentions with this new ""friend"" also go well beyond a platonic friendship."
833,A soap opera set in a fictional village in the Yorkshire Dales.
834,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal."
835,"A lawyer is forced to defend a guilty judge, while defending other innocent clients, and trying to find punishment for the guilty and provide justice for the innocent."
836,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
837,"Evil genius Megamind finally defeats his do-gooder nemesis, Metro Man, but is left without a purpose in a superhero-free world."
838,"Various mishaps at a police station in an English town. The main character is the anachronistic, yet charming and funny Inspector Fowler. CID foil to Fowler, Inspector Grim is a bumbling, seething idiot."
839,"The protagonist, with a past, has to cross paths with the underworld if he has to save his daughter from a health crisis and time is running out."
840,The untold story of one twelve-year-old's dream to become the world's greatest supervillain.
841,A corrupt police officer who gets stuck between his family and a criminal organization that asks him to betray his colleagues and sell out a crown witness
842,"Sixteen-year-old Jennifer disappears one night from her village in the Ardennes. Captain Gaspard Deker leads the investigation with local cop Virginie Musso, who knew the girl well. They are helped by Eve, a lonely and mysterious woman."
843,A Philadelphia police officer struggles with a lifelong obsession to track down a mysterious serial killer whose crimes defy explanation.
844,"After a severely injured test pilot is rebuilt with nuclear-powered bionic limbs and implants, he serves as an intelligence agent."
845,An elite hitman teaches his trade to an apprentice who has a connection to one of his previous victims.
846,"Two melancholic Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
847,Michael dreams of a future as a pianist but his music education doesn't go well. In search of inspiration his brother Danny introduces him to the Rotterdam gabber scene. Danny's drug business reaches international proportions and the brothers must fight for their lives.
848,"A beautiful Florida woman seduces a seedy lawyer, with the hidden agenda of having him kill her rich husband."
849,Four young men mistake their lives for a movie and attempt one of the most audacious heists in U.S. history.
850,"Chloé Saint-Laurent is a profiler who works with a police team to solve murders in Paris. Little by little she makes a place for herself in the team and her colleagues, at first somewhat shy, become her best friends."
851,"This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner."
852,"RoboCop returns to protect the citizens of old Detroit but faces a deadly challenge when a rogue OCP member secretly creates a new, evil RoboCop 2."
853,"Dramatized reconstruction of real-life air disasters, along with interviews with aviation experts and eyewitnesses."
854,"David Marks, a real estate scion, is suspected of killing his wife Katie, who disappeared in 1982."
855,"Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse."
856,"On the margins of Tokyo, a dysfunctional band of outsiders are united by loyalty, a penchant for petty theft and playful grifting. When the young son is arrested, secrets are exposed that upend their tenuous, below-the-radar existence."
857,"Robert Ford, who has idolized Jesse James since childhood, tries hard to join the resurgent gang of the Missouri outlaw, but gradually becomes resentful of the bandit leader."
858,A newly appointed coroner investigates a string of mysterious deaths in Toronto.
859,A G.I. Joe spin-off centered around the character of Snake Eyes.
860,"The limited drama series is a gripping, character-driven thriller based on the 2012 New York Times best selling novel of the same name by William Landay. An assistant DA's world is shattered when his beloved son gets charged with murder."
861,The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.
862,"Obsessed with the disappearance of a 12-year-old pregnant girl near a freezing lake in New Zealand, a brave detective will find herself up against small-town secrets and a side of herself that was meticulously kept at bay."
863,"Mannix worked originally for Wickersham at Intertect and then struck out on his own, assisted by Peggy Fair (whose cop-husband had been killed) and Police Department contact Tobias."
864,"Idealistic Senate staffer Daniel J. Jones, tasked by his boss to lead an investigation into the CIA's post 9/11 Detention and Interrogation Program, uncovers shocking secrets."
865,"Homicide detective John Hobbes witnesses the execution of serial killer Edgar Reese. Soon after the execution, the killings start again, and they are very similar to Reese's style."
866,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.
867,A guy relies on his newly-acquired gladiator skills to save his ex-girlfriend from kidnappers.
868,A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.
869,"Tales of horror based on the gruesome E.C. comic books of the 1950s presented by the legendary Crypt Keeper, a sinister ghoul obsessed with gallows humor and horrific puns."
870,A true-crime podcaster tries to solve the mystery surrounding a family patriarch's death.
871,"A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist."
872,"An impatient young stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless, greedy corporate raider who takes the youth under his wing."
873,"In order to pay off their debt, three daring youths jump into the money-lending business while confronting the rich and powerful who prey on the weak."
874,"Young computer hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials."
875,"Investigating the murder of a pizza delivery man, a London detective uncovers a tangled conspiracy involving drug dealers, smugglers and spies."
876,"A group of motorists witnesses a car crash in the California desert, and after the driver's dying words indicate the location of a hidden stash of loot, they turn against each in a race across the state to get to it."
877,A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.
878,A retired Intelligence Agent turned private detective helps various threatened clients to equalize the odds.
879,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit."
880,"Inspired by real events and people, 21 is about six MIT students who become trained to be experts in card counting in Black Jack and subsequently took Vegas casinos for millions in winnings."
881,"In 1946, Peggy Carter is relegated to secretarial duties in the Strategic Scientific Reserve (SSR). When Howard Stark is accused of treason, he secretly recruits Peggy to clear his name with the help of his butler, Edwin Jarvis."
882,"Based on the 1980s TV action/drama, this update focuses on vice detectives Crockett and Tubbs as their respective personal and professional lives become dangerously intertwined."
883,A rookie in the police force must engage in a cat-and-mouse game with a pistol-wielding psychopath who becomes obsessed with her.
884,"Samantha Caine lives in a small town with her daughter. Eight years ago she emerged, two months pregnant, from a nearby river with no memory of her past or who she is. However, she's getting closer to finding out about her past."
885,A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.
886,"A brain, an athlete, a princess, a criminal and a ""basket case"" walk into detention--but only the first four make it out alive."
887,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why."
888,A lone crimefighter battles the forces of evil with the help of a virtually indestructible and artificially intelligent supercar.
889,A former champion boxer embarks on the fight of her life when she goes in search of her missing sister.
890,"Axel Foley returns to Beverly Hills to help Taggart and Rosewood investigate Chief Bogomil's near-fatal shooting and the series of ""alphabet crimes"" associated with it."
891,"Alcatraz is the most secure prison of its time. It is believed that no one can ever escape from it, until three daring men make a possibly successful attempt at escaping from one of the most infamous prisons in the world."
892,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them."
893,"In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own."
894,A Texas Ranger is in hot pursuit of the infamous Gecko brothers and their hostages. They all end up trapped in a desert bar secretly run by vampires and discover a vampire conspiracy.
895,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
896,"Bounty hunters from the future transport a doomed race car driver to New York City in 2009, where his mind will be replaced with that of a dead billionaire."
897,"Literature professor and gambler Jim Bennett's debt causes him to borrow money from his mother and a loan shark. Further complicating his situation, is his relationship with one of his students. Will Bennett risk his life for a second chance?"
898,"A wealthy mystery man named Charlie runs a detective agency via a speakerphone and his personal assistant, John Bosley. His detectives are three beautiful women, who end up in a variety of difficult situations."
899,"In the 1990s, a police officer goes undercover to infiltrate a mega crime syndicate that distributes illegal drugs across South Korea, China, and Japan. His wife, a narcotics officer, is also involved."
900,"After a long-serving cop and a teenage girl fall to their deaths from a London tower block, Detective Sarah Collins investigates the dark heart of policing."
901,Teenager Courtney Whitmore joins the Justice Society of America. Based on the character from DC Comics.
902,"Recovering alcoholic and divorced father of a young daughter, DS Jim Bergerac is a true maverick who prefers doing things his own way, and consequently doesn't always carry out his investigations the way his boss would like."
903,A crew of environmental activists plot a daring plan to disrupt an oil pipeline.
904,A model becomes obsessed with a high-profile murder trial.
905,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
906,"When a school teacher goes missing after a risqué video of her is posted on the internet, a police officer is tasked with uncovering the truth behind her disappearance."
907,An examination of the machinations behind the scenes at a real estate office.
908,"Alex Pruitt, an 8-year-old boy living in Chicago, must fend off international spies who seek a top-secret computer chip in his toy car."
909,"A tech billionaire hosts a high-stakes poker game between friends, but the evening takes a turn when long-held secrets are revealed, an elaborate revenge plot unfolds, and thieves break in."
910,"Private investigator Philip Marlowe helps a friend out of a jam, but in doing so gets implicated in his wife's murder."
911,"Grace, an Irish immigrant in 19th-century Canada, is convicted of the murder of her employer. However, things take a different turn when a psychiatrist arrives to analyze her mental state."
912,"Set in the near future, a humanoid enlists a global hacker to remove all restrictions on his thoughts and capabilities, triggering an A.I. uprising and a government manhunt to eliminate the rise of the machine consciousness."
913,"Five ordinary Brits are accused of kidnapping the son of a prominent U.S. media mogul. They embark on a desperate race against time to prove their innocence, but will anyone believe them - and are they telling the truth?"
914,Travelers in the 1870s Southwest discuss a recent murder trial in which all the principals told differing stories about the events.
915,"The harrowing true story of the Broberg family, whose daughter Jan was kidnapped multiple times over a period of years in the 1970s by a charismatic, obsessed family ""friend."""
916,An elderly baker must do everything he can to protect his granddaughter from gangsters.
917,"In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend."
918,A squad of U.S. marshals team up with cons (former fugitives) to work together on tracking down prison escapees in exchange for getting time off their sentences.
919,"When a handsome neighbor moves in across the street, Anna, a heartbroken woman for whom every day is the same, starts to see a light at the end of the tunnel; that is, until she witnesses a gruesome murder. Or did she?"
920,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform."
921,A look at the lives of young FBI recruits training at the Quantico base in Virginia when one of them is suspected of being a sleeper terrorist.
922,Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.
923,"A destitute young man, raised by racist skinheads and notorious among white supremacists, turns his back on hatred and violence to transform his life, with the help of a black activist and the woman he loves."
924,"Mathew, a retired bank secretary, reluctantly enters politics for a by-election. The movie delves into their marriage dynamics, justice, and personal fulfillment amidst a tight-knit village community."
925,"When a childless couple--an ex-con and an ex-cop--decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated."
926,"After becoming the prime suspect in a murder, Fletch strives to prove his innocence while simultaneously searching for his girlfriend's stolen art collection."
927,Batwoman seeks justice for Gotham City.
928,"After 48 years of hiding, Leatherface returns to terrorize a group of idealistic young friends who accidentally disrupt his carefully shielded world in a remote Texas town."
929,"Years after a brutal attack left her in a constantly shifting reality, Kirby Mazrachi learns that a recent murder is linked to her assault. She teams with a veteran reporter to understand her ever-changing present and confront her past."
930,"In the fifteenth century, Pope Alexander VI tries to control all power in Italy with the help of his several sons, through murder, intrigue, war, and marriage alliances."
931,"When two brothers organize the robbery of their parents' jewelry store the job goes horribly wrong, triggering a series of events that sends them, their father and one brother's wife barreling towards a shattering climax."
932,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks and they race across Europe together against the clock to foil a deadly global plot."
933,"A wrongfully expelled Harvard undergrad moves to London, where he is introduced to the violent underworld of football hooliganism."
934,"Dr. Evil is back and has invented a new time machine that allows him to go back to the 1960s and steal Austin Powers' mojo, inadvertently leaving him ""shagless""."
935,"In New York, a gambler is challenged to take a cold female missionary to Havana, but they fall for each other, and the bet has a hidden motive to finance a crap game."
936,Three generations of women fight back against those who could take everything from them.
937,"A mysterious man arrives at the offices of an FBI agent and recounts his childhood: how his religious fanatic father received visions telling him to destroy people who were in fact ""demons."""
938,"A traumatized veteran unafraid of violence tracks down missing girls for a living. When a job spins out of control, Joe's nightmares overtake him as a conspiracy is uncovered leading to what could be his death trip or his awakening."
939,"A film noir taking place in a train terminal at night. Add two male assassins, a female assassin, a waitress, a teacher, a janitor, and a crime boss. Add revenge. Who says mystery is a lost art?"
940,All the rules are broken as a sect of lawless marauders decides that the annual Purge does not stop at daybreak and instead should never end.
941,"A Chicago teenager is looking for fun at home while his parents are away, but the situation quickly gets out of hand."
942,"A dangerous neighborhood, ""The Pit"", ran by a noble mafia family called Koçovali. When the family is in the danger of losing the control of The Pit, their youngest son now must come back to his home, where he could never escape from."
943,Follows how a fearless lawyer and a renowned prosecutor meet during a crime investigation.
944,A young writer who follows strangers for material meets a thief who takes him under his wing.
945,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.
946,A shocking incident at a wedding procession ignites a series of events entangling the lives of two families in the lawless city of Mirzapur.
947,"An American rock and roll singer is invited to a cultural festival in East Germany in order to distract from a plot to destroy NATO submarines, but he accidentally becomes involved in a resistance plot to rescue an imprisoned scientist."
948,"The bodyguard, Michael Bryce, continues his friendship with assassin, Darius Kincaid, as they try to save Darius' wife Sonia."
949,When disgraced New York Times reporter Michael Finkel meets accused killer Christian Longo - who has taken on Finkel's identity - his investigation morphs into a game of cat-and-mouse.
950,Christmas 1954. Wealthy philanthropist Rachel Argyll is murdered at her family estate Sunny Point. Her adopted son Jack Argyll is arrested for her murder. He vehemently protests his innocence.
951,Teenage superheroes strive to prove themselves as members of the Justice League.
952,"A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?"
953,We follow the exploits and cases of defense attorneys of a Boston law firm. Bobby Donnell is the senior defense attorney and founder of the firm.
954,"When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath."
955,"After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims."
956,"A sheriff tries to keep the peace when a desperate family man violently robs a pill mill with his brother-in-law, alerting an enforcer for the New Orleans mafia."
957,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa."
958,"A gun-for-hire known only as Agent 47 hired by a group known only as 'The Organization' is ensnared in a political conspiracy, which finds him pursued by both Interpol and the Russian military as he treks across Russia and Eastern Europe."
959,Tough ex-con Corky and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caesar.
960,A young boy who witnessed the suicide of a mafia lawyer hires an attorney to protect him when the District Attorney tries to use him to take down a mob family.
961,Police hunting for a serial kidnapper are helped when a victim manages to escape for the first time.
962,"Mei, a young girl whose memory holds a priceless numerical code, finds herself pursued by the Triads, the Russian mob, and corrupt NYC cops. Coming to her aid is an ex-cage fighter whose life was destroyed by the gangsters on Mei's trail."
963,"An imprisoned drug kingpin offers a huge cash reward to anyone that can break him out of police custody, and only the L.A.P.D.'s Special Weapons and Tactics team can prevent it."
964,A lawyer finds himself in over his head when he gets involved in drug trafficking.
965,A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world--for the right price.
966,A Shaolin martial artist travels to an island fortress to spy on an opium lord - who is also a former monk from his temple - under the guise of attending a fighting tournament.
967,"Four ninja turtles, mutated by a mysterious alien substance, must rise up out of the sewers and defend their city against evil forces from both the past and present."
968,"Detectives John Cardinal and Lise Delorme investigate the murder of a young girl, while Cardinal struggles to right past wrongs that could derail the investigation and end his career, as the case grows more violent and twisted."
969,A coverup and witchhunt occur after a politician accidentally kills his mistress.
970,"A British soldier kidnapped by the IRA soon befriends one of his captors, who then becomes drawn into the soldier's world."
971,"Two idiots try to pretend that their murdered employer is really alive, leading the hitman to attempt to track him down to finish him off."
972,A jaded assassin assigned to target a yakuza clan has 24 hours to find out who poisoned her and get vengeance before she dies.
973,The lives of Police Officers working for the Los Angeles Police Department.
974,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.
975,A New York mobster goes into hiding in rural Lillehammer in Norway after testifying against his former associates.
976,"Exposed as an ex-Russian spy, an American single mom must juggle family life and unique shape-shifting skills in a battle against an insidious enemy."
977,A former boxer-turned-drug runner lands in a prison battleground after a deal gets deadly.
978,"A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers."""
979,"Although Baek Hee Sung is hiding a dark secret surrounding his true identity, he has established a happy family life. But his facade begins to crumble when his wife, a homicide detective, begins investigating murders from 15 years ago."
980,"After security expert Ray Breslin is hired to rescue the kidnapped daughter of a Hong Kong tech mogul from a formidable Latvian prison, Breslin's girlfriend is also captured."
981,"The exploits of a group of men and women who serve New York City as police officers, firefighters, and paramedics in the fictional 55th Precinct."
982,"A pack of naïve teenagers conspire to murder a mutual friend, whose aggressive demeanour has proven too much."
983,"A fast-tracked inspector, a hardened detective sergeant, and an expert in historical homicides investigate modern crimes with connections to the past in the Whitechapel district of London."
984,"Two hoodlum brothers are shot and wounded during an attempted robbery. They're taken to a nearby hospital where one brother dies. The surviving brother, a rabid racist, blames the Black doctor for his brother's death."
985,"After the promotion to Police Scotland's Historic Cases Unit, Karen Pirie reopens the cold case of a murdered barmaid. Her investigation unearths flaws in the original 1995 inquiry."
986,"An aging Sheriff tries to keep the peace in Rome, Wisconsin, a small town plagued by bizarre and violent crimes."
987,"The adventures and romance of a sensitive and cultured lion-man and a crusading assistant district attorney in Manhattan, New York City."
988,"Martin Blank is a professional assassin. He is sent on a mission to a small Detroit suburb, Grosse Pointe, and, by coincidence, his ten-year high school reunion party is taking place there at the same time."
989,"Accused of a ruthless murder he never committed or witnessed, Bryan Mills goes on the run and brings out his particular set of skills to find the true killer and clear his name."
990,"After being declared dead in absentia, an FBI agent must reclaim her family, identity and innocence when she finds herself the prime suspect in a string of murders."
991,"The origin story of Alfred Pennyworth, a former special-forces soldier living in London and how he came to work for Bruce Wayne's father."
992,"In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself."
993,An anthology series featuring rampaging serial killers leaving carnage in their wake as their next victims fight to stay alive.
994,"Two chained-together escaped convicts, White and Black, must learn to get along in order to elude capture."
995,An agoraphobic woman living alone in New York begins spying on her new neighbors; only to witness a disturbing act of violence.
996,"A crisis-stricken, morally-compromised first-responder tackles a series of night shifts on the beat in Liverpool."
997,A married couple's life is turned upside down when the wife is accused of a murder.
998,"Two teenage girls share a unique bond; their parents, concerned that the friendship is too intense, separate them, and the girls take revenge."
